Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Ferry,Washington,3013,US-Canada Border,Aug-20,Personal Vehicles,47,49,-118.761,POINT (-118.761166 49.000083)
Northgate,North Dakota,3406,US-Canada Border,Sep-22,Personal Vehicle Passengers,1053,48.999,-102.275,POINT (-102.27475 48.998833)
Northgate,North Dakota,3406,US-Canada Border,Dec-22,Truck Containers Empty,200,48.999,-102.275,POINT (-102.27475 48.998833)
Highgate Springs,Vermont,212,US-Canada Border,Oct-21,Truck Containers Loaded,7519,45.015,-73.085,POINT (-73.085037 45.015414)
Trout River,New York,715,US-Canada Border,Mar-21,Truck Containers Empty,273,44.992,-74.308,POINT (-74.308172 44.992058)
Laredo,Texas,2304,US-Mexico Border,Oct-20,Bus Passengers,35841,27.5,-99.507,POINT (-99.507412 27.499561)
Port Huron,Michigan,3802,US-Canada Border,Sep-20,Truck Containers Loaded,58490,42.999,-82.424,POINT (-82.423611 42.998611)
Houlton,Maine,106,US-Canada Border,Dec-22,Personal Vehicle Passengers,20506,46.135,-67.781,POINT (-67.781288 46.134879)
Trout River,New York,715,US-Canada Border,Jun-21,Personal Vehicle Passengers,1526,44.992,-74.308,POINT (-74.308172 44.992058)
Ambrose,North Dakota,3410,US-Canada Border,Aug-21,Personal Vehicles,13,48.999,-103.487,POINT (-103.486555 48.999305)
Calexico East,California,2507,US-Mexico Border,Sep-21,Truck Containers Loaded,17287,32.673,-115.388,POINT (-115.388018 32.673389)
Detroit,Michigan,3801,US-Canada Border,Jan-22,Rail Containers Empty,3193,42.332,-83.048,POINT (-83.047924 42.331685)
Naco,Arizona,2603,US-Mexico Border,Nov-22,Truck Containers Loaded,75,31.334,-109.948,POINT (-109.948413 31.334084)
Nogales,Arizona,2604,US-Mexico Border,Sep-23,Truck Containers Empty,7244,31.333,-110.943,POINT (-110.942516 31.332839)
Oroville,Washington,3019,US-Canada Border,Apr-21,Trucks,2542,49,-119.462,POINT (-119.461833 49.000083)
Rio Grande City,Texas,2307,US-Mexico Border,Sep-23,Truck Containers Loaded,4383,26.366,-98.803,POINT (-98.802513 26.365761)
Del Rio,Texas,2302,US-Mexico Border,Apr-23,Pedestrians,16325,29.327,-100.928,POINT (-100.927612 29.326784)
Eagle Pass,Texas,2303,US-Mexico Border,Jan-23,Trains,232,28.705,-100.512,POINT (-100.511977 28.705483)
Nighthawk,Washington,3011,US-Canada Border,Dec-20,Personal Vehicles,10,49,-119.671,POINT (-119.67103 49.000144)
Whitlash,Montana,3321,US-Canada Border,Apr-21,Personal Vehicles,3,48.997,-111.258,POINT (-111.257916 48.99725)
Columbus,New Mexico,2406,US-Mexico Border,May-22,Trucks,2147,31.784,-107.628,POINT (-107.627948 31.783742)
Dalton Cache,Alaska,3106,US-Canada Border,Jun-21,Trucks,131,59.451,-136.362,POINT (-136.361944 59.450556)
Raymond,Montana,3301,US-Canada Border,Jun-23,Truck Containers Empty,259,48.999,-104.574,POINT (-104.574333 48.999194)
Massena,New York,704,US-Canada Border,Apr-22,Truck Containers Loaded,1267,44.991,-74.74,POINT (-74.739722 44.990556)
Nighthawk,Washington,3011,US-Canada Border,Nov-23,Personal Vehicles,181,49,-119.671,POINT (-119.67103 49.000144)
Douglas,Arizona,2601,US-Mexico Border,Aug-22,Personal Vehicle Passengers,250609,31.334,-109.56,POINT (-109.560344 31.334043)
Massena,New York,704,US-Canada Border,Jan-21,Truck Containers Loaded,1345,44.991,-74.74,POINT (-74.739722 44.990556)
International Falls,Minnesota,3604,US-Canada Border,Feb-22,Trucks,1224,48.608,-93.401,POINT (-93.401355 48.6078)
Dalton Cache,Alaska,3106,US-Canada Border,Aug-21,Truck Containers Empty,129,59.451,-136.362,POINT (-136.361944 59.450556)
Jackman,Maine,104,US-Canada Border,Aug-21,Trucks,5641,45.806,-70.397,POINT (-70.396722 45.805661)
Calexico East,California,2507,US-Mexico Border,Jan-23,Bus Passengers,354,32.673,-115.388,POINT (-115.388018 32.673389)
Douglas,Arizona,2601,US-Mexico Border,Aug-23,Personal Vehicles,144643,31.334,-109.56,POINT (-109.560344 31.334043)
Roosville,Montana,3318,US-Canada Border,Jan-21,Truck Containers Empty,314,49,-115.056,POINT (-115.056027 48.999638)
Calais,Maine,115,US-Canada Border,Nov-22,Personal Vehicle Passengers,53287,45.189,-67.275,POINT (-67.275381 45.188548)
Fortuna,North Dakota,3417,US-Canada Border,Jul-22,Personal Vehicles,738,49,-103.809,POINT (-103.80925 48.999555)
Norton,Vermont,211,US-Canada Border,Mar-21,Train Passengers,37,45.011,-71.793,POINT (-71.793219 45.010771)
Fort Kent,Maine,110,US-Canada Border,Nov-23,Pedestrians,36,47.249,-68.604,POINT (-68.603918 47.249206)
Piegan,Montana,3316,US-Canada Border,Sep-22,Personal Vehicle Passengers,16860,48.998,-113.379,POINT (-113.378777 48.998083)
Point Roberts,Washington,3017,US-Canada Border,May-21,Pedestrians,35,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Del Rio,Texas,2302,US-Mexico Border,May-22,Pedestrians,13694,29.327,-100.928,POINT (-100.927612 29.326784)
Fort Kent,Maine,110,US-Canada Border,Dec-23,Truck Containers Loaded,267,47.249,-68.604,POINT (-68.603918 47.249206)
Sumas,Washington,3009,US-Canada Border,Mar-23,Truck Containers Empty,3221,49.002,-122.265,POINT (-122.264805 49.002388)
Jackman,Maine,104,US-Canada Border,Aug-20,Trains,32,45.806,-70.397,POINT (-70.396722 45.805661)
Warroad,Minnesota,3423,US-Canada Border,Sep-23,Personal Vehicles,8074,48.999,-95.377,POINT (-95.376555 48.999)
Calexico East,California,2507,US-Mexico Border,Oct-21,Trucks,35244,32.673,-115.388,POINT (-115.388018 32.673389)
Ogdensburg,New York,701,US-Canada Border,Jul-21,Truck Containers Empty,792,44.733,-75.458,POINT (-75.4577501759 44.7330898624)
Point Roberts,Washington,3017,US-Canada Border,Oct-23,Truck Containers Loaded,125,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Trout River,New York,715,US-Canada Border,Oct-23,Personal Vehicles,9384,44.992,-74.308,POINT (-74.308172 44.992058)
Blaine,Washington,3004,US-Canada Border,Jun-23,Personal Vehicles,264182,48.994,-122.749,POINT (-122.748884 48.994045)
Eastport,Maine,103,US-Canada Border,Jul-23,Buses,1,44.859,-66.98,POINT (-66.98007566 44.8594395785)
Houlton,Maine,106,US-Canada Border,Apr-23,Personal Vehicles,11230,46.135,-67.781,POINT (-67.781288 46.134879)
Kenneth G Ward,Washington,3023,US-Canada Border,Oct-23,Trucks,5065,49.002,-122.485,POINT (-122.485027 49.002277)
Ysleta,Texas,2401,US-Mexico Border,Aug-22,Trucks,56502,31.673,-106.335,POINT (-106.335449846028 31.6731261376859)
Warroad,Minnesota,3423,US-Canada Border,May-22,Pedestrians,2,48.999,-95.377,POINT (-95.376555 48.999)
Buffalo Niagara Falls,New York,901,US-Canada Border,Oct-20,Rail Containers Empty,2427,43.095,-79.056,POINT (-79.055847 43.09549)
Vanceboro,Maine,105,US-Canada Border,Mar-22,Truck Containers Loaded,9,45.569,-67.429,POINT (-67.428541 45.568761)
Presidio,Texas,2403,US-Mexico Border,Feb-23,Pedestrians,9732,29.562,-104.395,POINT (-104.394907 29.561827)
Sumas,Washington,3009,US-Canada Border,Nov-21,Rail Containers Empty,148,49.002,-122.265,POINT (-122.264805 49.002388)
Presidio,Texas,2403,US-Mexico Border,Jun-23,Personal Vehicles,58435,29.562,-104.395,POINT (-104.394907 29.561827)
Highgate Springs,Vermont,212,US-Canada Border,Oct-22,Rail Containers Loaded,1147,45.015,-73.085,POINT (-73.085037 45.015414)
Presidio,Texas,2403,US-Mexico Border,Jul-22,Personal Vehicle Passengers,124563,29.562,-104.395,POINT (-104.394907 29.561827)
Douglas,Arizona,2601,US-Mexico Border,Apr-22,Truck Containers Loaded,1639,31.334,-109.56,POINT (-109.560344 31.334043)
Vanceboro,Maine,105,US-Canada Border,Jul-22,Rail Containers Empty,2354,45.569,-67.429,POINT (-67.428541 45.568761)
Opheim,Montana,3317,US-Canada Border,Jul-22,Personal Vehicle Passengers,276,49,-106.378,POINT (-106.377583 48.999527)
